Category,Count
hep-ph,170558
hep-th,157082
cs.LG,134244
quant-ph,133006
astro-ph,105380
gr-qc,98933
cs.CV,91637
cond-mat.mtrl-sci,83159
cond-mat.mes-hall,83133
math-ph,73450
math.MP,73450
cond-mat.stat-mech,68489
cond-mat.str-el,68249
astro-ph.CO,61786
cs.AI,59949
math.CO,59012
stat.ML,58466
astro-ph.GA,56665
math.AP,55061
astro-ph.SR,54738
nucl-th,53863
astro-ph.HE,50955
math.PR,50781
hep-ex,49931
math.AG,48306
cs.CL,42773
math.IT,41993
cs.IT,41993
math.OC,40983
physics.optics,40793
cond-mat.supr-con,40520
math.DG,38696
math.NT,37748
cond-mat.soft,36653
math.DS,32797
math.NA,32183
math.FA,28164
hep-lat,26536
cs.CR,25953
astro-ph.EP,25627
astro-ph.IM,25407
cs.SY,24844
physics.flu-dyn,24369
nucl-ex,24136
math.RT,23815
cs.RO,23380
stat.ME,22351
cond-mat.dis-nn,21927
eess.SP,21211
cs.DS,21206
math.GT,20984
math.CA,20431
stat.TH,20416
math.ST,20416
math.GR,20158
physics.soc-ph,20101
physics.comp-ph,19990
physics.atom-ph,19407
cs.NI,19350
physics.chem-ph,19315
cond-mat.quant-gas,19265
physics.ins-det,19039
cs.NA,18200
cs.DC,18066
math.QA,17866
eess.IV,17477
cs.SI,17272
eess.SY,16402
stat.AP,15861
math.RA,15810
math.CV,15582
cond-mat.other,14994
nlin.CD,14853
physics.plasm-ph,14736
physics.app-ph,14707
cs.CY,14444
cond-mat,14215
math.AT,14196
cs.LO,14184
physics.bio-ph,13851
cs.IR,13319
cs.SE,12799
cs.HC,12291
cs.NE,12226
cs.DM,11960
math.LO,11875
math.AC,11756
math.OA,11694
nlin.SI,11235
eess.AS,10571
q-bio.PE,10468
cs.SD,10465
math.MG,10109
physics.gen-ph,10001
cs.GT,9687
cs.CC,9662
physics.data-an,9461
nlin.PS,9039
q-bio.QM,8986
math.SP,8872
math.SG,8386
q-bio.NC,8249
physics.class-ph,7948
math.CT,7580
cs.DB,7442
stat.CO,7197
physics.acc-ph,7119
cs.PL,6745
nlin.AO,6600
physics.geo-ph,6233
cs.MA,6135
cs.CG,6127
physics.med-ph,5824
physics.space-ph,5636
cs.CE,5591
physics.ao-ph,5515
math.KT,5452
cs.MM,4915
q-bio.BM,4842
math.GN,4682
physics.hist-ph,4505
cs.GR,4464
cs.FL,4357
cs.DL,4295
cs.AR,3669
math.GM,3590
q-fin.EC,3547
q-bio.MN,3474
physics.ed-ph,3454
cs.PF,3365
math.HO,3271
cs.ET,3267
q-fin.ST,3196
econ.GN,2981
q-bio.GN,2815
econ.EM,2802
physics.atm-clus,2568
q-fin.GN,2453
chao-dyn,2398
cs.SC,2255
physics.pop-ph,2238
q-fin.MF,2171
cs.OH,2135
q-fin.CP,2049
q-bio.TO,2015
q-fin.RM,2002
q-bio.CB,2001
cs.MS,2000
q-fin.PR,1838
econ.TH,1803
q-bio.SC,1612
q-fin.PM,1601
q-alg,1578
q-fin.TR,1546
alg-geom,1423
nlin.CG,1420
solv-int,1413
q-bio,1356
stat.OT,1149
q-bio.OT,1134
cmp-lg,894
cs.OS,755
dg-ga,732
patt-sol,650
adap-org,584
funct-an,427
mtrl-th,262
chem-ph,251
comp-gas,221
cs.GL,203
supr-con,175
atom-ph,123
acc-phys,49
plasm-ph,38
ao-sci,17
bayes-an,16
